id,file,subject,topic,category,risk,action,quality,problem,question_preview
math-v1-006,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,"What is the next number in the sequence: 3, 6, 12, 24, 48, ___?"
math-v1-008,src/data/questionPacks/mathPack.ts,Mathematics,Algebra,Math,LOW,REWRITE,70,Duplicate or near-identical answer choices,"If x² − 5x + 6 = 0, what are the values of x?"
math-v1-014,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,"Find the next number: 2, 5, 11, 23, 47, ___"
math-v1-025,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,"Find the next number: 1, 4, 9, 16, 25, ___"
math-v1-032,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,"Find the next number: 81, 27, 9, 3, ___"
math-v1-044,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,70,Possible OCR/encoding/spacing corruption,"Find the next number: 5, 10, 20, 40, ___"
math-v1-051,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,70,Possible OCR/encoding/spacing corruption,"Find the next number: 7, 14, 28, 56, ___"
math-v1-062,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,"Find the next number: 4, 9, 19, 39, 79, ___"
math-v1-070,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,"Find the next number: 2, 6, 18, 54, ___"
math-v1-079,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,"Find the next number: 3, 8, 15, 24, 35, ___"
math-v1-089,src/data/questionPacks/mathPack.ts,Mathematics,Sequences,Math,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,"Find the next number: 6, 11, 18, 27, 38, ___"
math-v1-101,src/data/questionPacks/mathPack.ts,Mathematics,Algebra,Math,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math Reviewer 2010 Solution & Answer Key.txt,"Amanda wants to buy a graphing calculator that is already on sale for P4200. The sale price is 30% below the original price. If she is able to get an additional 15% off for being a student, how much money was saved from "
math-v1-102,src/data/questionPacks/mathPack.ts,Mathematics,Geometry,Math,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math Reviewer 2010 Solution & Answer Key.txt,"The x-intercepts of a parabola are 2 and 4, and the y-intercept is 8. If the parabola passes through the point (a, 8), what is the value of a?"
math-v1-105,src/data/questionPacks/mathPack.ts,Mathematics,Number Sense,Math,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math Reviewer 2010 Solution & Answer Key.txt,What was the Biblical approximation to π?
math-v1-106,src/data/questionPacks/mathPack.ts,Mathematics,Statistics,Math,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math Reviewer 2010 Solution & Answer Key.txt,"In the freshman class at Uno High School, there are 18 boys and 12 girls. The average height of the boys is 170 cm, and that of the girls is 160 cm. What is the average height of all the students?"
math-v1-111,src/data/questionPacks/mathPack.ts,Mathematics,Number Patterns,Math,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math Reviewer 2010 Solution & Answer Key.txt,What is the sum of the first 100 positive odd integers?
math-v1-116,src/data/questionPacks/mathPack.ts,Mathematics,Geometry,Math,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math Reviewer 2010 Solution & Answer Key.txt,What is the measure of the obtuse angle formed by two intersecting angle bisectors of an equilateral triangle?
math-v1-122,src/data/questionPacks/mathPack.ts,Mathematics,Number Line,Math,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math Reviewer 2010 Solution & Answer Key.txt,How many integers are no more than 8 units from 20 and also at least 10 units from 35?
math-v1-126,src/data/questionPacks/mathPack.ts,Mathematics,Algebra,Math,LOW,REWRITE,70,Duplicate or near-identical answer choices,"For the quadratic equation x^2 + 3x - 5 = 0, what is the sum of its roots plus the product of its roots?"
math-v1-128,src/data/questionPacks/mathPack.ts,Mathematics,Algebra,Math,LOW,REWRITE,70,Duplicate or near-identical answer choices,"If a parabola defined by y = ax^2 + bx + c does not intersect the x-axis, which condition must be true?"
math-v1-130,src/data/questionPacks/mathPack.ts,Mathematics,Algebra,Math,LOW,REWRITE,70,Duplicate or near-identical answer choices,The larger root of the equation (x + 3)(x - 4) = 0 is which value?
math-v1-139,src/data/questionPacks/mathPack.ts,Mathematics,Algebra,Math,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math Practice Test.txt,What number added to 6% of itself equals 31.8?
math-v1-141,src/data/questionPacks/mathPack.ts,Mathematics,Algebra,Math,LOW,REWRITE,70,Duplicate or near-identical answer choices,What is the quotient when 2x^3 - 3x^2 - 5x + 6 is divided by x^2 - 3x + 2?
math-v1-143,src/data/questionPacks/mathPack.ts,Mathematics,Algebra,Math,LOW,REWRITE,70,Duplicate or near-identical answer choices,"What is the greatest common factor of 3x^2 + 6x - 9, 6x^2 - 21x + 15, and 6x^3 - 6?"
math-v1-149,src/data/questionPacks/mathPack.ts,Mathematics,Geometry,Math,LOW,REWRITE,70,Duplicate or near-identical answer choices,"What is the distance from the point (2, 3) to the line x - y = 5?"
math-v1-150,src/data/questionPacks/mathPack.ts,Mathematics,Algebra,Math,LOW,REWRITE,70,Duplicate or near-identical answer choices,What value of x gives the maximum value for the quadratic expression -7x^2 + 7x + 3?
reading-v1-001,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Many students believe that intelligence alone guarantees academic success. However, research shows that discipline, consistency, and effective study habits often play a greater role in long-term achievement. Wha"
reading-v1-002,src/data/questionPacks/readingPack.ts,Reading Comprehension,Inference,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Lena brought an umbrella before leaving home. Hours later, she arrived at school with wet shoes and damp sleeves. What can be inferred from the passage?"
reading-v1-003,src/data/questionPacks/readingPack.ts,Reading Comprehension,Author's Purpose,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Recycling helps reduce pollution, conserve natural resources, and decrease the amount of waste sent to landfills. Communities that recycle regularly contribute to a cleaner environment. What is the author's prim"
reading-v1-006,src/data/questionPacks/readingPack.ts,Reading Comprehension,Sequence,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: First, Carla gathered all the ingredients. Next, she mixed the batter carefully. Finally, she baked the cake for forty minutes. What happened immediately before the cake was baked?"
reading-v1-007,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The coach praised the team enthusiastically after their dramatic comeback victory. What is the tone of the passage?
reading-v1-010,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Miguel practiced the piano every evening for months. During the recital, he performed confidently without making mistakes. What is the best conclusion?"
reading-v1-011,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: Technology has changed the way people communicate. Messages that once took days to deliver can now be sent instantly through smartphones and the internet. What is the main idea of the passage?
reading-v1-013,src/data/questionPacks/readingPack.ts,Reading Comprehension,Author's Purpose,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: Washing hands regularly can reduce the spread of germs and help prevent illness. Health experts recommend washing hands before eating and after using the restroom. What is the author's purpose?
reading-v1-016,src/data/questionPacks/readingPack.ts,Reading Comprehension,Sequence,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: First, the campers built a fire. Then they cooked dinner. After eating, they told stories before sleeping. What happened after dinner?"
reading-v1-017,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The mayor thanked the volunteers warmly for their tireless efforts after the storm. What is the tone of the passage?
reading-v1-020,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Angela saved a portion of her allowance every week. After several months, she finally bought the laptop she wanted. What is the best conclusion?"
reading-v1-021,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Urban gardens are becoming popular in crowded cities. They provide fresh vegetables, improve air quality, and give residents a peaceful place to work together. What is the main idea of the passage?"
reading-v1-023,src/data/questionPacks/readingPack.ts,Reading Comprehension,Author's Purpose,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: This guide explains how to prepare an emergency kit, including water, food, flashlights, batteries, and basic medicine. What is the author's purpose?"
